manufacturer,name,gpuName,architecture,generation,releaseDate,baseClock,boostClock,memoryClock,memorySize,memoryType,memoryBus,memoryBandwidth,shaders,tensorCores,rtCores,fp32,fp16,fp64,tdp,cuda,processSize,transistors,dieSize,foundry,busInterface,sms,l2Cache,url
NVIDIA,GeForce RTX 2070 Max-Q,TU106,Turing,GeForce 20 Mobile,2019-01-29,885.0,1185.0,1500.0,8.0,GDDR6,256,384.0,2304,288,36,5.46,10.92,0.17,90,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,36,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2070-max-q.c3392
NVIDIA,GeForce RTX 2070 Mobile,TU106,Turing,GeForce 20 Mobile,2019-01-29,1215.0,1440.0,1750.0,8.0,GDDR6,256,448.0,2304,288,36,6.64,13.27,0.21,115,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,36,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2070-mobile.c3349
NVIDIA,GeForce RTX 2070 SUPER,TU104,Turing,GeForce 20,2019-07-09,1605.0,1770.0,1750.0,8.0,GDDR6,256,448.0,2560,320,40,9.06,18.12,0.28,215,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,40,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2070-super.c3440
NVIDIA,GeForce RTX 2080 Max-Q,TU104,Turing,GeForce 20 Mobile,2019-01-29,735.0,1095.0,1500.0,8.0,GDDR6,256,384.0,2944,368,46,6.45,12.89,0.2,80,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,46,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-max-q.c3363
NVIDIA,GeForce RTX 2080 Mobile,TU104,Turing,GeForce 20 Mobile,2019-01-29,1380.0,1590.0,1750.0,8.0,GDDR6,256,448.0,2944,368,46,9.36,18.72,0.29,150,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,46,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-mobile.c3312
NVIDIA,GeForce RTX 2080 SUPER,TU104,Turing,GeForce 20,2019-07-23,1650.0,1815.0,1937.0,8.0,GDDR6,256,495.9,3072,384,48,11.15,22.3,0.35,250,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,48,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-super.c3439
NVIDIA,Jetson Nano,GM20B,Maxwell 2.0,Tegra(Maxwell),2019-03-01,640.0,921.0,1600.0,4.0,LPDDR4,64,25.6,128,,,0.24,0.47,0.01,10,5.3,20,2.0,118.0,TSMC,PCIe 2.0 x4,1,0.25,https://www.techpowerup.com/gpu-specs/jetson-nano.c3643
NVIDIA,P106M,GP106,Pascal,Mining GPUs,2019-01-23,1291.0,1291.0,1502.0,4.0,GDDR5,128,96.13,1152,,,2.97,0.05,0.09,75,6.1,16,4.4,200.0,TSMC,PCIe 3.0 x16,9,1.25,https://www.techpowerup.com/gpu-specs/p106m.c3773
NVIDIA,Quadro P2200,GP106,Pascal,Quadro Pascal(Px200),2019-06-10,1000.0,1493.0,1251.0,5.0,GDDR5X,160,200.2,1280,,,3.82,0.06,0.12,75,6.1,16,4.4,200.0,TSMC,PCIe 3.0 x16,10,1.25,https://www.techpowerup.com/gpu-specs/quadro-p2200.c3442
NVIDIA,Quadro P520 Max-Q,GP108,Pascal,Quadro Pascal-M(Px200),2019-05-23,1303.0,1493.0,1375.0,4.0,GDDR5,64,44.0,384,,,1.15,0.02,0.04,18,6.1,14,1.8,74.0,Samsung,PCIe 3.0 x16,3,0.5,https://www.techpowerup.com/gpu-specs/quadro-p520-max-q.c4005
NVIDIA,Quadro P520 Mobile,GP108,Pascal,Quadro Pascal-M(Px200),2019-05-23,1303.0,1493.0,1502.0,2.0,GDDR5,64,48.06,384,,,1.15,0.02,0.04,18,6.1,14,1.8,74.0,Samsung,PCIe 3.0 x16,3,0.5,https://www.techpowerup.com/gpu-specs/quadro-p520-mobile.c3424
NVIDIA,Quadro RTX 3000 Max-Q,TU106,Turing,Quadro Turing-M(Tx000),2019-05-27,600.0,1215.0,1500.0,6.0,GDDR6,192,288.0,1920,240,30,4.67,9.33,0.15,60,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,3.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-3000-max-q.c3429
NVIDIA,Quadro RTX 3000 Mobile,TU106,Turing,Quadro Turing-M(Tx000),2019-05-27,945.0,1380.0,1750.0,6.0,GDDR6,192,336.0,1920,240,30,5.3,10.6,0.17,80,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,3.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-3000-mobile.c3428
NVIDIA,Quadro RTX 3000 Mobile Refresh,TU106,Turing,Quadro Turing-M(Tx000),2019-05-27,945.0,1380.0,1750.0,6.0,GDDR6,192,336.0,1920,240,30,5.3,10.6,0.17,80,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,4.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-3000-mobile-refresh.c3697
NVIDIA,Quadro RTX 3000 X2 Mobile,TU106,Turing,Quadro Turing-M(Tx000),2019-05-27,945.0,1380.0,1750.0,6.0,GDDR6,192,336.0,1920,240,30,5.3,10.6,0.17,160,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,4.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-3000-x2-mobile.c4120
NVIDIA,Quadro RTX 4000 Max-Q,TU104,Turing,Quadro Turing-M(Tx000),2019-05-27,780.0,1380.0,1500.0,8.0,GDDR6,256,384.0,2560,320,40,7.07,14.13,0.22,80,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,40,4.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-4000-max-q.c3427
NVIDIA,Quadro RTX 4000 Mobile,TU104,Turing,Quadro Turing-M(Tx000),2019-05-27,1110.0,1560.0,1750.0,8.0,GDDR6,256,448.0,2560,320,40,7.99,15.97,0.25,110,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,40,4.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-4000-mobile.c3430
NVIDIA,Quadro RTX 5000 Max-Q,TU104,Turing,Quadro Turing-M(Tx000),2019-05-27,600.0,1350.0,1500.0,16.0,GDDR6,256,384.0,3072,384,48,8.29,16.59,0.26,80,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,48,4.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-5000-max-q.c3432
NVIDIA,Quadro RTX 5000 Mobile,TU104,Turing,Quadro Turing-M(Tx000),2019-05-27,1035.0,1530.0,1750.0,16.0,GDDR6,256,448.0,3072,384,48,9.4,18.8,0.29,110,7.5,12,13.6,545.0,TSMC,PCIe 3.0 x16,48,4.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-5000-mobile.c3431
NVIDIA,Quadro RTX 6000 Mobile,TU102,Turing,Quadro Turing-M(Tx000),2019-09-04,1275.0,1455.0,1750.0,24.0,GDDR6,384,672.0,4608,576,72,13.41,26.82,0.42,,7.5,12,18.6,754.0,TSMC,PCIe 3.0 x16,72,6.0,https://www.techpowerup.com/gpu-specs/quadro-rtx-6000-mobile.c3497
NVIDIA,Quadro T1000 Max-Q,TU117,Turing,Quadro Turing-M(Tx000),2019-05-27,765.0,1350.0,1250.0,4.0,GDDR5,128,80.0,896,,,2.42,4.84,0.08,50,7.5,12,4.7,200.0,TSMC,PCIe 3.0 x16,14,1.0,https://www.techpowerup.com/gpu-specs/quadro-t1000-max-q.c3807
