name,vendor,generation,socket,lithography,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_w,memory_types,max_memory_gb,memory_channels,ecc_support,has_igpu,url
Ryzen Threadripper 5965WX,AMD,Threadripper,sWRX8,,24,48,3.8,4.5,280,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 5975WX,AMD,Threadripper,sWRX8,,32,64,3.6,4.5,280,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 5995WX,AMD,Threadripper,sWRX8,,64,128,2.7,4.5,280,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7945WX,AMD,Threadripper,sWRX8,,12,24,4.7,5.3,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7955WX,AMD,Threadripper,sWRX8,,16,32,4.5,5.3,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7960X,AMD,Threadripper,sTRX4,,24,48,4.2,5.3,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7965WX,AMD,Threadripper,sWRX8,,24,48,4.2,5.3,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7970X,AMD,Threadripper,sTRX4,,32,64,4.0,5.3,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7975WX,AMD,Threadripper,sWRX8,,32,64,4.0,5.3,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7980X,AMD,Threadripper,sTRX4,,64,128,3.2,5.1,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7985WX,AMD,Threadripper,sWRX8,,64,128,3.2,5.1,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 7995WX,AMD,Threadripper,sWRX8,,96,192,2.5,5.1,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9945WX,AMD,Threadripper,sWRX8,,12,24,4.7,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9955WX,AMD,Threadripper,sWRX8,,16,32,4.5,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9960X,AMD,Threadripper,sTRX4,,24,48,4.2,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9965WX,AMD,Threadripper,sWRX8,,24,48,4.2,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9970X,AMD,Threadripper,sTRX4,,32,64,4.0,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9975WX,AMD,Threadripper,sWRX8,,32,64,4.0,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9980X,AMD,Threadripper,sTRX4,,64,128,3.2,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9985WX,AMD,Threadripper,sWRX8,,64,128,3.2,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 9995WX,AMD,Threadripper,sWRX8,,96,192,2.5,5.4,350,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Steam Machine CPU,AMD,Zen 4 (2026),Custom BGA,,6,12,4.8,4.8,30,DDR5,,,No,No,https://pcspecs.io/cpus/steam-machine-cpu
Xbox One CPU,AMD,Jaguar (2013),Custom BGA,28nm,8,8,1.8,,,DDR3,,,No,Yes,https://pcspecs.io/cpus/xbox-one-cpu
Xbox One X CPU,AMD,Jaguar (2017),Custom BGA,16nm,8,8,2.3,,,GDDR5,,,No,Yes,https://pcspecs.io/cpus/xbox-one-x-cpu
Xbox Project Helix CPU,AMD,Zen 6,Custom BGA,3nm,11,22,3.5,3.5,,GDDR7,,,No,No,https://pcspecs.io/cpus/xbox-project-helix-cpu
Xbox Series S CPU,AMD,Zen 2 (2020),Custom BGA,7nm,8,16,3.4,3.6,,GDDR6,,,No,Yes,https://pcspecs.io/cpus/xbox-series-s-cpu
Xbox Series X CPU,AMD,Zen 2 (2020),Custom BGA,7nm,8,16,3.6,3.8,,GDDR6,,,No,Yes,https://pcspecs.io/cpus/xbox-series-x-cpu
Celeron G1840,Intel,4th Gen,LGA1150,22nm,2,2,2.8,2.8,53,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/celeron-g1840
Celeron G4900,Intel,8th Gen,LGA1151,14nm,2,2,3.1,3.1,54,DDR4,128,2,No,Yes,https://pcspecs.io/cpus/celeron-g4900
Core i3-10100,Intel,10th Gen (Comet Lake),LGA1200,14nm,4,8,3.6,4.3,65,DDR4-2666,128,2,No,Yes,https://pcspecs.io/cpus/core-i3-10100
Core i3-10100F,Intel,10th Gen,LGA1200,14nm,4,8,3.6,4.3,65,DDR4,128,2,No,No,https://pcspecs.io/cpus/core-i3-10100f
Core i3-10105F,Intel,10th Gen,LGA1200,14nm,4,8,3.7,4.4,65,DDR4,128,2,No,No,https://pcspecs.io/cpus/core-i3-10105f
Core i3-12100,Intel,12th Gen (Alder Lake),LGA1700,10nm,4,8,3.3,4.3,60,"DDR5, DDR4",128,2,No,Yes,https://pcspecs.io/cpus/core-i3-12100
Core i3-12100F,Intel,12th Gen (Alder Lake),LGA1700,10nm,4,8,3.3,4.3,60,"DDR5, DDR4",128,2,No,No,https://pcspecs.io/cpus/core-i3-12100f
Core i3-12300,Intel,12th Gen,LGA1700,10nm,4,8,3.5,4.4,60,DDR4/DDR5,,,No,Yes,https://pcspecs.io/cpus/core-i3-12300
Core i3-13100F,Intel,13th Gen,LGA1700,10nm,4,8,3.4,4.5,58,DDR4/DDR5,128,2,No,No,https://pcspecs.io/cpus/core-i3-13100f
Core i3-14100F,Intel,14th Gen,LGA1700,10nm,4,8,3.5,4.7,58,DDR4/DDR5,192,2,No,No,https://pcspecs.io/cpus/core-i3-14100f
Core i3-4130,Intel,4th Gen,LGA1150,22nm,2,4,3.4,3.4,54,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i3-4130
Core i3-4150,Intel,4th Gen,LGA1150,22nm,2,4,3.5,3.5,54,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i3-4150
Core i3-4160,Intel,4th Gen,LGA1150,22nm,2,4,3.6,3.6,54,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i3-4160
Core i3-4170,Intel,4th Gen,LGA1150,22nm,2,4,3.7,3.7,54,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i3-4170
Core i3-4340,Intel,4th Gen,LGA1150,22nm,2,4,3.6,3.6,54,DDR3,32,2,No,Yes,https://pcspecs.io/cpus/core-i3-4340
Core i3-6100,Intel,6th Gen,LGA1151,14nm,2,4,3.7,3.7,51,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i3-6100
Core i3-6300,Intel,6th Gen,LGA1151,14nm,2,4,3.8,3.8,51,DDR4,,,No,Yes,https://pcspecs.io/cpus/core-i3-6300
